,gender,int_or_dom,grad_year,fin_aid,c1_field,testing,legacy,ever_checked_out,calls_vga,last_had_sex,us_mil_action,asian,amind_alask,black,nathaw_pacisl,nw_hisp,white,pna_race,grad_year_lumped,wants_masks_in_class,wants_masks_in_student_space,wants_mand_testing,wants_none_of_above,unsure_covid_restrictions,pna_covid_restrictions,used_alcohol,used_cocaine,used_inhalants,used_lsd,used_marijuana,used_mdma,used_nicotine,used_shrooms,used_none_of_above,used_unsure,pna_drugs
407,Male,Domestic,2024.0,None,PS,Yes,Unsure,Yes,Greg,I’ve never had sex,Unsure,0,0,0,0,0,1,0,2024.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
408,Male,Domestic,2024.0,Grants covering all costs,PS,No,No,No,Greg,Less than one week ago,Favor,0,0,0,0,1,1,0,2024.0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
409,Male,Domestic,2024.0,Grants covering some costs,LS,Yes,Yes,No,Greg,I’ve never had sex,Favor,0,0,0,0,0,1,0,2024.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
410,Female,Domestic,2024.0,None,PS,Unsure,No,No,Greg,Less than one week ago,Favor,0,0,0,0,0,1,0,2024.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
411,Male,Domestic,2024.0,Grants covering some costs,PS,Yes,No,Yes,Greg,Less than one week ago,Oppose,0,0,0,0,0,1,0,2024.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
412,Male,Domestic,2024.0,None,SS,Yes,No,No,Greg,Less than one week ago,Oppose,0,0,0,0,0,1,0,2024.0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
413,Male,Domestic,2022.0,Grants covering some costs,LS,No,No,Yes,New Dorm,Less than six months ago,Oppose,1,0,0,0,0,0,0,2022.0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
414,Male,Domestic,2025.0,None,LS,No,Unsure,No,New Dorm,Less than one month ago,Favor,0,0,0,0,0,1,0,2025.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
415,Female,Domestic,2024.0,None,PS,No,No,No,Greg,More than six months ago,Favor,0,0,0,0,0,1,0,2024.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
416,Male,Domestic,2024.0,Grants covering all costs,LS,No,No,Yes,Greg,Less than one week ago,Oppose,0,0,1,0,0,0,0,2024.0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
417,Male,International,2024.0,None,PS,Yes,No,Yes,Greg,Less than one month ago,Oppose,1,0,0,0,0,0,0,2024.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
418,Female,Domestic,2022.0,Grants covering some costs,PS,Unsure,No,No,New Dorm,Less than one week ago,Unsure,0,0,0,0,0,1,0,2022.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
419,Non-binary,Domestic,2022.0,None,AH,No,No,Yes,New Dorm,More than six months ago,Oppose,0,0,1,0,0,0,0,2022.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
420,Male,Domestic,2024.0,None,PS,Yes,Yes,No,Greg,Less than six months ago,Oppose,1,0,0,0,0,1,0,2024.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
421,Female,Domestic,2023.0,None,PS,Unsure,Unsure,Yes,New Dorm,Prefer not to answer,Unsure,0,0,0,0,0,1,0,2023.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
422,Male,Domestic,2024.0,Grants covering some costs,AH,Unsure,No,No,Greg,Less than one week ago,Oppose,0,0,0,0,0,1,0,2024.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
423,Male,Domestic,2023.0,None,LS,No,No,No,Other,I’ve never had sex,Unsure,0,0,1,0,0,1,0,2023.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
424,Female,Domestic,2024.0,None,SS,Unsure,No,Yes,Greg,Less than one week ago,Unsure,1,0,0,0,0,0,0,2024.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
425,Female,Domestic,2023.0,Grants covering some costs,LS,No,Unsure,No,Greg,Less than one month ago,Unsure,1,0,0,0,0,1,0,2023.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
426,Female,Domestic,2023.0,None,SS,Yes,Yes,Yes,New Dorm,Less than one week ago,Oppose,1,0,0,0,0,1,0,2023.0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
427,Male,Domestic,2024.0,None,PS,Yes,No,No,Greg,Less than six months ago,Unsure,0,0,0,0,0,1,0,2024.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
428,Male,Domestic,2024.0,Grants covering some costs,LS,Yes,No,No,Greg,Less than six months ago,Unsure,0,0,0,0,1,0,0,2024.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
429,Female,Domestic,2025.0,Grants covering some costs,LS,No,No,No,New Dorm,Less than one week ago,Favor,0,0,0,0,0,1,0,2025.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
430,Female,Domestic,2024.0,Grants covering some costs,LS,Yes,Yes,Yes,Greg,Prefer not to answer,Oppose,0,0,1,0,0,0,0,2024.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
431,Female,Domestic,2025.0,None,SS,Yes,Unsure,Yes,Greg,I’ve never had sex,Unsure,1,0,0,0,0,0,0,2025.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
432,Female,International,2022.0,None,LS,Yes,No,Yes,New Dorm,Less than six months ago,Unsure,1,0,0,0,0,0,0,2022.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
433,Non-binary,Domestic,2025.0,None,U,No,No,No,Unsure,Less than one week ago,Unsure,1,1,0,0,0,1,0,2025.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
